AcX,AcY,AcZ,GyX,GyY,GyZ,time
1092,-16184,-2404,-129,-380,-214,89429
1104,-16236,-2424,-92,-337,-155,89450
1240,-16152,-2320,-110,-289,-94,89471
1024,-16172,-2396,-97,-332,-164,89492
1124,-16184,-2336,-83,-392,-218,89513
1244,-16188,-2360,-74,-358,-260,89534
1204,-16160,-2448,-99,-268,-229,89555
1240,-16076,-2356,-74,-302,-197,89576
1204,-16204,-2380,-40,-289,-203,89597
1232,-16096,-2308,-51,-239,-192,89618
1276,-16184,-2272,-62,-202,-156,89639
1324,-16116,-2120,-85,-164,-99,89660
1252,-16132,-2136,-140,-110,-48,89681
1296,-16172,-2208,-147,-8,-35,89702
1112,-16132,-2268,-103,38,-26,89723
1316,-15992,-2384,-247,14,-87,89744
1260,-16152,-2300,-205,103,-147,89765
1016,-16300,-2520,-102,-42,-244,89786
1040,-16232,-2440,-21,-544,-343,89807
1368,-16152,-2328,19,-738,-351,89828
1860,-16412,-2896,124,-256,-216,89849
1380,-16120,-2684,328,-6,-57,89870
1496,-16200,-2668,504,-118,-35,89891
1488,-16292,-2512,586,-128,22,89912
1580,-16212,-2640,683,77,158,89933
1328,-16272,-2292,763,216,177,89954
1312,-16340,-2320,820,-7,166,89975
1264,-16128,-2136,840,-70,99,89996
1304,-16212,-2032,807,-230,27,90017
1420,-16344,-2136,798,-44,30,90038
1052,-16256,-1896,782,-114,-61,90059
1340,-16108,-2168,764,-359,-97,90080
1392,-16108,-2144,723,-315,-52,90101
1252,-16084,-1752,701,-294,0,90122
1464,-16272,-1800,668,-308,-7,90143
1444,-16468,-1928,669,-268,21,90164
1452,-16400,-1880,690,-175,40,90185
1440,-16264,-1756,705,-218,29,90206
1624,-16492,-1760,688,-168,17,90227
1160,-16356,-1432,704,-250,-10,90248
1424,-16344,-1624,634,-400,-132,90269
1228,-16500,-1496,622,-451,-212,90290
1116,-16040,-1424,545,-642,-338,90311
1208,-16248,-1468,516,-793,-456,90332
1212,-16120,-1568,490,-816,-478,90353
1108,-16068,-1372,439,-964,-563,90374
1480,-15832,-1392,439,-1093,-565,90395
1844,-15844,-1660,273,-697,-464,90416
1524,-16100,-1296,273,-416,-343,90437
1484,-16140,-1292,185,-450,-330,90458
1544,-16296,-1340,134,-547,-337,90481
1576,-16152,-1448,135,-572,-338,90502
1584,-16148,-1608,97,-446,-278,90523
1516,-16292,-1420,94,-445,-261,90544
1716,-16168,-1448,49,-520,-254,90565
1728,-16172,-1296,9,-329,-174,90586
1748,-16340,-1496,-42,-112,-114,90607
1668,-16504,-1364,10,-218,-83,90628
1688,-16320,-1240,15,-391,-89,90649
1728,-16176,-1360,33,-475,-68,90670
1780,-16352,-1372,-33,-336,-13,90691
1540,-16184,-1216,-14,-445,-74,90712
1640,-16320,-1256,-69,-496,-146,90733
1792,-16200,-1332,-77,-614,-189,90754
1760,-16168,-1260,-130,-596,-216,90775
1808,-16164,-1340,-198,-496,-216,90796
1672,-16156,-1296,-202,-415,-254,90817
1620,-16356,-1536,-256,-447,-335,90838
1616,-16220,-1504,-217,-545,-444,90859
1836,-16276,-1448,-284,-571,-506,90880
1748,-16220,-1440,-267,-545,-498,90901
1916,-16172,-1480,-271,-431,-467,90922
1784,-16228,-1356,-341,-431,-503,90943
1856,-16132,-1416,-329,-463,-502,90964
1872,-16160,-1332,-362,-311,-510,90985
1824,-16352,-1300,-346,-367,-500,91006
1984,-16164,-1264,-370,-455,-519,91027
2056,-16300,-1540,-400,-384,-467,91048
1996,-16192,-1632,-394,-377,-452,91069
2044,-16276,-1536,-427,-410,-430,91090
2076,-16296,-1484,-417,-495,-401,91111
2128,-16144,-1468,-442,-457,-380,91132
2152,-16008,-1568,-450,-374,-321,91153
2204,-15968,-1708,-496,-260,-243,91174
2192,-16208,-1520,-470,-257,-162,91195
1992,-16076,-1664,-466,-355,-184,91216
2212,-16216,-1796,-483,-304,-124,91237
2312,-16152,-1536,-485,-146,-116,91258
2012,-16128,-1524,-507,-230,-125,91279
2248,-16200,-1744,-500,-250,-126,91300
2160,-16168,-1732,-484,-212,-152,91321
2200,-16104,-1660,-502,-199,-180,91342
2120,-16096,-1692,-461,-209,-115,91363
2312,-16192,-1860,-475,-246,-76,91384
2240,-16160,-1944,-426,-167,8,91405
2224,-16140,-1852,-355,-193,81,91426
2272,-16208,-1952,-356,-246,152,91447
2212,-16164,-1916,-334,-136,202,91468
1992,-16136,-1772,-266,-124,127,91489
2112,-16240,-1756,-240,-245,40,91510
2004,-16180,-1992,-251,-236,0,91531
