AcX,AcY,AcZ,GyX,GyY,GyZ,time
1420,-12972,-9692,6001,27472,-11103,99063
-1380,-13224,-9776,4018,26650,-12489,99084
-1832,-13972,-7976,1716,25040,-14027,99105
-804,-14128,-6020,-827,25103,-15657,99126
-920,-15176,-5192,-3113,26379,-17050,99147
-2380,-16480,-6708,-4565,27214,-17879,99168
-2532,-16840,-7076,-5848,26117,-18970,99189
-1876,-17848,-7660,-7243,24954,-20010,99210
-2564,-18616,-7632,-8443,23667,-20730,99231
-2920,-20088,-7328,-9362,20915,-21471,99252
-3732,-20864,-7400,-9469,17700,-21144,99273
-5808,-20044,-6512,-9530,13200,-20376,99294
-6292,-19024,-6200,-9772,7677,-19292,99315
-5040,-17456,-5216,-10751,3994,-17722,99336
-4380,-18892,-2716,-11062,2403,-15619,99357
-3260,-20492,-2844,-11234,2213,-12725,99378
-6016,-19820,4060,-7202,4418,-7972,99399
-10692,-19016,2312,-4671,2615,-3087,99420
-12864,-16988,3476,-3078,750,2665,99441
-14160,-22884,9572,-309,895,10353,99462
-9496,-23036,6716,459,2137,19354,99483
7968,-32200,9276,8740,-3980,16996,99504
13144,-17664,-5184,1145,2415,22192,99525
1084,-12512,-8748,1523,11136,15847,99546
-15564,-11364,2892,1107,2244,7645,99567
636,-19736,-2772,5493,-10669,8044,99588
4748,-21012,-4408,-1043,-740,9173,99609
220,-15308,-1860,-8,1131,10241,99630
-2364,-15908,-1852,-1661,-1853,6385,99651
-748,-16552,-4536,-1158,-2475,4097,99672
-780,-16336,-3992,-504,-1706,2946,99693
-136,-16420,-3700,33,-1063,2024,99714
-328,-16300,-3540,169,-885,1306,99735
-776,-16200,-2004,-340,-1506,613,99756
-376,-15856,-3212,-753,-1820,401,99777
52,-15864,-4192,-511,-1907,453,99798
-212,-15772,-3856,51,-1935,1086,99819
684,-15848,-4420,-1111,-2061,1778,99840
672,-16188,-3396,130,-2404,2984,99861
-280,-16248,-3280,315,-2802,3531,99882
-764,-16532,-3092,-78,-3332,3235,99905
-56,-17488,-4140,-729,-3658,2418,99926
772,-17468,-2944,519,-4274,4015,99947
-144,-17136,-3096,879,-4444,5977,99968
676,-17544,-2984,1073,-4971,7799,99989
976,-18176,-2256,1298,-4526,9873,100010
368,-19308,-1960,1238,-4291,11670,100031
640,-19220,-3464,2132,-4321,13632,100052
708,-19416,-3312,2760,-4461,15910,100073
1072,-20388,-4452,3475,-3987,17581,100094
2112,-21428,-4112,4454,-4803,19006,100115
2120,-23720,-4224,4114,-7497,22123,100136
3572,-25076,-4284,5048,-10654,23301,100157
4128,-27600,-3600,6425,-10714,26401,100178
8732,-32272,-8732,4745,-15777,23943,100199
7216,-27420,-7804,6410,-17241,23382,100220
2516,-18544,-12084,3036,-9579,21008,100241
-40,-24248,-7628,-3514,-8929,11999,100262
-12424,-4236,-964,1832,-6774,14287,100283
2604,-8624,-508,-1271,-26056,-13370,100304
18380,-1976,-2676,-194,-23836,-16939,100325
17912,-24,-2844,-8984,-358,-23120,100346
4416,-8200,-1348,-11999,13274,-27993,100367
-3792,-12308,100,-12520,9227,-32164,100388
-860,-14036,2540,-12931,784,-32768,100409
452,-18156,4040,-14212,-832,-32768,100430
996,-22300,6116,-14093,2682,-32768,100451
-3540,-24720,964,-13463,7153,-32768,100472
-6116,-26028,-484,-12451,7607,-32768,100493
-3672,-26080,-444,-10826,7713,-32768,100514
-7508,-29244,-480,-9401,9855,-32768,100535
-9568,-28628,-324,-8176,10242,-32768,100556
-10236,-24556,-2776,-6610,7965,-30930,100577
-7444,-24188,-1844,-5680,7167,-25174,100598
-7656,-22836,-3300,-4901,13588,-14046,100619
-15300,-17612,-1132,-3807,14547,-4585,100640
-15660,-16276,-3820,-3314,8218,1238,100661
-15160,-20092,280,-1965,3053,12004,100682
-8776,-22496,-1336,829,-1200,18248,100703
-1908,-17664,4000,1030,-13432,18801,100724
32767,-32768,-3124,-3725,2130,22096,100745
4224,-13384,3632,-2407,5649,22560,100766
-1484,-13768,-3168,-1962,14502,13023,100787
-6092,-22836,-5784,-2913,2214,20899,100808
-1580,-12052,-6052,452,-10898,12786,100829
3284,-20236,-6612,-1684,-5464,9946,100850
2280,-15004,-6892,-2088,-2109,11888,100871
992,-17176,-2944,-952,-1809,10513,100892
-216,-17064,-3400,-901,-2475,8788,100913
-976,-16632,-4552,-927,-4897,5984,100934
508,-16448,-3588,-173,-4702,4570,100955
616,-16376,-3756,158,-2714,4054,100976
-164,-16252,-3628,237,-1635,3104,100997
-876,-15620,-3544,-886,-1763,1838,101018
-1104,-15864,-3040,-727,-3141,931,101039
604,-16292,-3680,-147,-3251,1985,101060
340,-15348,-4052,157,-2580,2797,101081
-952,-15652,-3572,275,-3310,3502,101102
232,-16140,-2896,301,-4796,4212,101123
840,-16376,-3088,329,-3981,5881,101144
368,-16792,-3492,618,-4096,7421,101165
92,-17592,-3856,919,-3988,8830,101186
116,-19220,-2296,1678,-5230,9960,101207
2456,-19300,-2272,2408,-4859,12436,101228
2380,-20296,-2728,2909,-3648,15702,101251
1828,-21972,-2888,3715,-4292,19021,101272
2824,-22220,-3232,4264,-5783,21861,101293
3096,-23096,-2384,4667,-7064,23745,101314
4324,-26072,-728,5070,-10036,24500,101335
5060,-30296,1204,5905,-13997,26020,101356
12540,-30052,-1168,9945,-16579,24852,101377
12076,-26044,-6784,10703,-14806,20848,101398
9496,-24264,-12716,8424,-1750,21226,101419
23240,-32768,7344,4461,6999,12758,101440
-18576,7688,-3352,13531,25181,19627,101461
-12844,-2368,-10688,-7147,-523,-4794,101482
5040,-17768,3444,15752,-29243,-19807,101503
15868,1696,-5388,4631,-14622,-17265,101524
5636,-3468,-3300,413,1135,-32331,101545
-1692,-9356,-2340,-3728,3420,-32768,101566
-1312,-11508,-4092,-6439,-1969,-32768,101587
2024,-10276,-7916,-12165,-182,-32768,101608
-2948,-19724,-4516,-16083,2955,-32768,101629
-5932,-23432,2904,-15612,-1182,-32768,101650
-664,-26692,600,-15769,-1930,-32768,101671
-2048,-26320,-1836,-16307,2749,-32768,101692
-3840,-27192,-3232,-16615,4002,-32768,101713
-2588,-28736,-3136,-15599,7817,-32768,101734
-3068,-30800,2416,-12617,11466,-32768,101755
-17568,-31404,2824,-9129,17612,-23802,101776
-24172,-22188,-4620,-5351,8660,-13005,101797
-30668,-16956,3636,-4407,9443,-1292,101818
-24440,-22568,84,-2884,11333,17542,101839
-8172,-28940,6840,-906,2235,26484,101860
32767,-30848,2332,4909,9311,3675,101881
3540,-3816,-1744,-4753,12764,32767,101902
-12168,-19580,-13516,-9512,15262,32767,101923
-25876,-32768,-1640,-749,2056,11330,101944
1584,-9524,-11440,1220,-14367,11108,101965
2560,-19860,-2808,-4600,-4431,5103,101986
1964,-15500,-4680,-1696,-8162,6809,102007
3060,-16164,-2652,-2185,-244,6105,102028
1308,-16152,-4668,-969,938,8332,102049
8,-16928,-4144,-562,-28,6105,102070
-1316,-16428,-3380,-277,-3198,3710,102091
-7412,-14988,14180,2203,-9514,2199,102112
4108,-16480,-4428,-55,-4855,1356,102133
4608,-15888,-3848,1753,-2494,2717,102154
-2212,-16160,-4036,-571,-1520,3454,102175
492,-15400,-3100,-637,-3785,1984,102196
1348,-15560,-4704,-1,-4174,2432,102217
1656,-16176,-3520,754,-3930,3923,102238
-64,-14436,-4660,1141,-2581,4863,102259
-2200,-16564,-2656,966,-4358,6295,102280
1520,-15564,-4228,906,-5599,7109,102301
2236,-17208,-4800,1520,-4331,9286,102322
396,-18704,-2188,1841,-4017,11663,102343
2468,-18180,-2264,1924,-3600,12304,102364
516,-19748,-2692,2206,-2291,14977,102385
1316,-20348,-3840,2483,-2337,17184,102406
-56,-21456,-2728,3331,-4106,20198,102427
-500,-22812,-3320,3301,-6226,22162,102448
1536,-23372,-4528,3998,-10156,23847,102469
4996,-29844,-1400,4220,-12438,23566,102490
5448,-32768,-5276,7853,-13416,26833,102511
3232,-32768,-3320,6277,-14519,26218,102532
7276,-26524,-12176,5447,-15853,24636,102553
472,-19376,-13972,2327,-2959,26565,102574
-7848,-8768,-788,5578,-3537,16639,102597
764,-9536,-2496,6366,-27260,-1509,102618
11260,-1736,-1920,4443,-23537,-8940,102639
10376,1716,340,677,-7233,-19584,102660
7684,-3552,-844,-2569,4806,-26134,102681
4812,-4608,-4316,-5319,12143,-29239,102702
1260,-9440,-5860,-7828,17476,-32082,102723
-3336,-12984,-4428,-9656,18393,-32768,102744
-4316,-17628,76,-9994,15663,-32768,102765
-5424,-20844,228,-9183,12634,-32768,102786
-8660,-22588,-2200,-7768,5579,-32768,102807
-6612,-22084,-4024,-8033,-937,-32768,102828
-3188,-24320,-3120,-9906,-1029,-32768,102849
-544,-28108,-2668,-11486,4098,-32768,102870
-1796,-29472,-3060,-12604,13635,-32768,102891
-7256,-29864,-188,-10375,19469,-31598,102912
-13440,-28928,-2404,-8878,23698,-22366,102933
-21004,-21032,-4312,-5099,20438,-6617,102954
-31384,-18772,-1420,-4194,13552,4643,102975
-32768,-21596,2452,-1771,9985,15592,102996
-972,-23604,8872,3760,-14962,20586,103017
32767,-30920,-8220,6393,-702,-26227,103038
8528,-268,-3188,-2026,6795,26521,103059
-7000,-19156,-3012,-10351,7969,32767,103080
-8592,-32768,9688,-2248,2871,24602,103101
-3088,-10828,-2208,1614,-2814,-1581,103122
3796,-19012,-5260,-2820,-5305,11743,103143
-1224,-16252,-2660,-765,-6265,5472,103164
3620,-15340,-3132,-1832,-8872,3524,103185
6228,-16240,-4204,-2325,-3455,4715,103206
4268,-17156,-2468,-1429,2153,7857,103227
2060,-15916,-4056,-432,1435,7942,103248
-548,-16148,-2864,49,-1443,5870,103269
1964,-16340,-2328,-273,-2818,4172,103290
3432,-15916,-2808,-206,271,5807,103311
536,-15684,-2824,-178,838,5915,103332
-12,-15928,-3056,-506,-2026,4144,103353
1680,-16192,-3604,-279,-3023,3958,103374
1012,-16544,-3084,388,-2154,4796,103395
1332,-16044,-2788,374,-1802,5281,103416
80,-16224,-2552,408,-2551,5383,103437
1212,-16424,-3652,788,-3163,5913,103458
960,-16272,-2820,1283,-3445,7707,103479
456,-16948,-1940,1425,-3472,9758,103500
856,-16492,-4296,2134,-2293,12957,103521
104,-18016,-3104,3524,-2040,16238,103542
-2876,-16924,-1608,3806,-2888,17634,103563
-1880,-18172,-3076,3863,-4988,17176,103584
-532,-18856,-4236,4352,-4430,17753,103605
-3324,-19744,-2540,4614,-4229,17912,103626
-3592,-18388,-3100,1217,-4460,16285,103647
-360,-27184,-4552,544,-8135,14957,103668
7112,-28252,-4816,558,-7664,8095,103689
-4988,-32420,-3272,4212,-5398,27961,103710
344,-23228,-4612,5905,-13456,21788,103731
436,-17272,-6892,4870,-7334,20293,103752
-7952,-11232,-4152,2746,-2182,21071,103773
-12372,-10436,1684,6036,-3415,12152,103794
-1704,-4264,-776,5783,-23637,-1026,103815
13764,-3032,-2748,5070,-20810,-9680,103836
13096,-4036,-1280,3196,-1931,-16352,103857
-948,-6844,-604,751,4869,-21433,103878
-4580,-8648,1056,659,-2712,-25440,103899
-1344,-9912,-176,-1665,-4902,-27962,103920
-1500,-13456,4108,-2839,-588,-27088,103943
-1192,-17436,4184,-4076,7237,-26979,103964
-2048,-19532,2596,-3861,16442,-27498,103985
-2164,-19480,-156,-3838,26410,-26827,104006
-2856,-21416,-1932,-3440,32767,-26113,104027
-2852,-21936,-3484,-1563,32767,-24766,104048
-3332,-23032,-5348,-202,32767,-23629,104069
-2524,-23236,-7892,993,32767,-21330,104090
-2452,-22600,-12876,-566,32767,-18032,104111
-4800,-23848,-15716,-2671,32767,-13211,104132
-12916,-17148,-22328,-6964,32767,-6510,104153
-17520,-13848,-25492,-11146,32767,-82,104174
-20020,-12000,-20508,-13972,32767,6638,104195
-24460,-20288,-5816,-1255,30875,12198,104216
-32768,-26628,32767,6395,8182,8653,104237
3684,-13412,-28460,-2210,-24404,-1058,104258
23964,-17120,-1088,-6380,-21911,-8333,104279
14204,-17484,860,-6253,9550,6831,104300
-8132,-21216,1760,-9224,9875,1246,104321
-5352,-16232,-1140,-3724,-10525,-1649,104342
6176,-18400,-5396,-4454,-8729,-1395,104363
4304,-16208,-3644,-3334,-1133,684,104384
2336,-17528,-952,-4161,1847,884,104405
416,-16668,-1600,-2843,3362,1808,104426
-124,-16400,-1284,-2474,555,142,104447
196,-15040,2200,-1038,-2278,-311,104468
2148,-16584,-1660,-1312,1464,1136,104489
1228,-15552,-1704,-1407,2121,1215,104510
1224,-16772,-1380,-1306,1331,869,104531
1844,-17012,-1668,-1341,1069,1028,104552
1240,-16744,-1304,-1042,1340,1147,104573
880,-16284,-1660,-805,1250,760,104594
1508,-16324,-1928,-545,883,468,104615
988,-16184,-1904,-93,1482,791,104636
1176,-16076,-940,-128,1372,857,104657
1160,-16504,-1916,31,1017,1196,104678
2444,-16352,-960,791,1907,1909,104699
696,-15736,-2624,2118,639,4052,104720
356,-16464,-960,1912,709,5006,104741
1688,-17716,-2080,1657,1518,5714,104762
956,-17180,-1840,2973,2184,7030,104783
-440,-15488,-1520,3358,2399,6678,104804
-1368,-16028,320,3271,693,5043,104825
-320,-16600,-1108,3239,-28,4273,104846
-416,-17324,-772,4306,1950,5342,104867
-792,-16292,-1116,5140,1666,5205,104888
-1848,-16200,-364,5346,-275,4605,104909
-1804,-17036,-96,5487,-740,4665,104930
740,-18676,76,5994,-1140,5127,104951
1588,-17100,-2084,7228,2324,7565,104972
9956,-25972,-7292,4861,4009,988,104993
-4280,-15036,3912,6660,5976,-3487,105014
-12064,-26136,5572,10360,6044,5742,105035
5004,-17336,-1620,12395,2288,7135,105056
1132,-16464,776,11623,11697,7885,105077
-6592,-19104,3288,12118,9614,7368,105098
-2728,-21060,1476,13408,5632,5796,105119
1872,-20380,-632,15077,8168,5359,105140
2032,-18836,-2128,15759,14817,4898,105161
448,-17900,-1136,16012,20632,3515,105182
-988,-17580,1236,17245,26987,2085,105203
-912,-18988,464,17773,32767,1773,105224
-3900,-17020,856,19423,32767,2987,105245
8900,-9704,-17180,14057,32767,1208,105266
12420,-10084,-19636,9438,32767,-1157,105289
-6132,-10984,-21508,4746,32767,-1279,105310
-22544,-14488,-2956,15363,25789,-3964,105331
-18544,-15100,8628,7599,-1126,-15282,105352
3020,-10068,-5948,9044,-12657,-20424,105373
7392,-10752,-8988,3129,-4260,-24479,105394
1536,-12292,-8768,-2168,5315,-24070,105415
2356,-14352,-8532,-6604,12086,-22936,105436
1552,-17700,-5256,-11075,21220,-22916,105457
-92,-21260,-1872,-11562,27598,-21741,105478
-1256,-21352,-2172,-10543,29606,-21800,105499
-2052,-20612,-5288,-9806,27821,-24851,105520
-4052,-24352,-6108,-9171,24746,-22449,105541
-5828,-20876,-3720,-7401,21477,-22965,105562
-7788,-21268,-3788,-7066,19012,-21158,105583
-10628,-21876,-468,-5081,14567,-19636,105604
-11240,-19728,-480,-4007,8375,-17363,105625
-9860,-18604,-2836,-3042,5753,-12789,105646
-12020,-15840,-1220,-3028,4257,-7148,105667
-10712,-15776,-1816,-3154,204,-2507,105688
-10548,-14904,-2572,-3345,-1269,3265,105709
-10396,-20128,-1156,-727,-671,9819,105730
-10484,-20784,9576,-602,-6390,14397,105751
19772,-19704,1148,2032,-21121,9205,105772
5064,-18380,-2952,-203,11637,17252,105793
-5064,-29196,-1572,-1719,4527,15030,105814
1544,-13920,-2080,-4007,-148,13606,105835
-3516,-17296,-3436,-4195,2784,7607,105856
-12,-15504,-3612,-3311,-2547,2768,105877
2364,-15892,-6348,-2003,-3155,5061,105898
1368,-16180,-1844,-2555,-914,5296,105919
-2164,-14356,2840,-1432,-3245,4246,105940
1032,-16724,-3980,-1744,655,4546,105961
-492,-15876,-3928,-1425,-365,2430,105982
968,-16460,-3532,-609,-730,1681,106003
464,-16144,-2452,-852,-653,1347,106024
1188,-16312,-3204,-747,-381,1718,106045
80,-15884,-3452,-874,-738,1543,106066
-952,-15836,-2352,-213,-1737,1705,106087
956,-16320,-3168,-544,-1983,1908,106108
-152,-16044,-4072,451,-2704,2555,106129
-432,-16052,-3140,591,-4853,2463,106150
764,-16500,-3372,681,-5745,2968,106171
1292,-16760,-3840,1291,-5096,5064,106192
456,-16676,-4184,2117,-4724,7430,106213
-340,-16484,-3576,2617,-5504,8649,106234
-228,-17564,-4572,2741,-5348,10218,106255
-984,-17360,-3860,3268,-5371,12175,106276
-460,-18588,-2736,3478,-7305,10777,106297
6116,-19788,-2232,2378,-6966,4945,106318
-2432,-21300,684,1583,-1044,11211,106339
-3656,-19532,480,3378,-3484,15514,106360
1480,-19976,-1680,3957,-4109,17630,106381
2220,-23244,-3292,4218,-3357,20115,106402
2828,-25480,-4524,3817,-4607,23710,106423
2852,-26936,-5360,3540,-7201,25326,106444
4096,-29356,-4944,3579,-9839,25977,106465
2536,-29868,-5252,6184,-15417,27229,106486
5832,-25728,-10204,6681,-13772,24458,106507
-2964,-17076,-12064,2929,833,28220,106528
-7144,-15340,1716,7869,-3059,14943,106549
556,-12748,1076,2591,-16573,3745,106570
18368,-6132,-2704,5471,-15482,-5025,106591
14168,-4820,-3456,849,12156,-10521,106612
2096,-6984,-3360,-1443,18094,-18488,106635
1624,-8156,-2512,-1901,16151,-25018,106656
2012,-10288,-1624,-2862,17314,-30577,106677
-544,-14760,-2140,-2938,18094,-32768,106698
-5184,-16100,-828,-2939,14657,-32768,106719
-7028,-18920,-1732,-2839,7904,-32768,106740
-5968,-21400,-3956,-3039,2547,-32768,106761
-3904,-22820,-6684,-4531,1737,-32768,106782
-3016,-23352,-6476,-6696,2378,-32768,106803
-3120,-25500,-8492,-10031,2022,-32768,106824
-7952,-30992,-8972,-12516,4628,-32768,106845
-17404,-31260,-1612,-9525,2632,-32768,106866
-23864,-27116,3752,-2834,-2065,-13581,106887
-32768,-22096,188,-4749,3040,-7162,106908
-32768,-15820,7484,-1854,1379,9937,106929
-26152,-23620,9560,1862,-2177,23918,106950
29984,-32768,-14404,-4067,-11056,14458,106971
8532,6852,-7292,4634,-1132,25755,106992
-22992,-32768,15644,-8959,4236,31928,107013
-1280,-5764,-11876,1728,-11743,26554,107034
-3064,-16492,2504,-4943,-6242,14495,107055
-3524,-16616,3264,521,-10323,9329,107076
4960,-18440,-3324,-2098,-2063,13137,107097
-3044,-16920,-3312,-1969,259,15065,107118
-4444,-15348,-3480,-3202,-2428,9222,107139
-1396,-16876,-4912,-2128,-4118,6487,107160
-2932,-16088,-4648,-804,-3693,5078,107181
-2452,-15744,-4276,-30,-3215,3092,107202
-1464,-15776,-3680,686,-1223,2540,107223
-2724,-16068,-3188,957,-600,2152,107244
-4020,-14868,-3180,399,-2225,-854,107265
-1312,-15044,-4428,576,-2753,-1460,107286
-2120,-15596,-3692,909,-2716,-827,107307
-1228,-15836,-2496,370,-4551,-1221,107328
1088,-19352,-3812,39,-5416,-113,107349
-132,-8280,-8300,1547,-2926,702,107370
-3324,-17676,-2624,1496,-4621,5068,107391
2144,-14972,-4888,712,-6016,552,107412
-3940,-21928,-3860,965,-5337,8236,107433
1008,-17744,-3108,2153,-6131,10164,107454
-248,-18764,-2108,2536,-4575,11755,107475
332,-18924,-2048,3399,-4738,14294,107496
1180,-19688,-3324,3816,-4371,16790,107517
968,-21428,-3432,4030,-5651,19965,107538
3092,-24068,-1896,4357,-7356,22701,107559
4008,-24152,-3632,6640,-6885,24675,107580
1312,-29704,-2092,6700,-8273,27617,107601
1888,-32140,-7092,8898,-9897,25087,107622
8668,-30588,-12108,7089,-5365,25408,107643
892,-21200,-13792,742,4117,28716,107664
-7380,-12944,-1664,7220,-5886,18856,107685
660,-13192,-1756,8736,-32047,756,107706
13516,-1676,-3588,7616,-29995,-2894,107727
13200,-480,944,5022,-11968,-17397,107748
10832,-4360,-128,-126,6539,-25084,107769
3488,-9136,-6052,-4431,18165,-29184,107790
-2620,-11812,-5180,-5060,20172,-32768,107811
-5224,-16192,-2988,-6180,18088,-32768,107832
-7528,-20436,-408,-5020,13110,-32768,107853
-9612,-20780,-1084,-4154,6574,-32768,107874
-8308,-20712,-5376,-5416,1642,-32768,107895
-6464,-18808,-7752,-7777,786,-32768,107916
-4820,-20540,-7208,-11899,5625,-32768,107937
-5604,-23220,-3088,-12664,7753,-32266,107958
-9132,-23856,-2024,-13387,9602,-29060,107981
-10556,-25000,-604,-10934,7075,-26735,108002
-14868,-25772,2356,-8320,6872,-17093,108023
-18568,-21196,2816,-3954,1862,-9735,108044
-22828,-20068,1088,-2609,-1869,-4989,108065
-25372,-16824,828,-3488,-320,4252,108086
-19772,-16988,-368,-2193,4373,14026,108107
-20012,-21268,7780,-1196,2027,21305,108128
6916,-32768,15812,8279,-16846,17492,108149
5720,-11912,-4672,-4299,1744,20990,108170
6204,-12256,328,-158,4986,29012,108191
-3388,-12096,-3900,-1968,5987,22083,108212
-5312,-16924,-624,-152,-855,15953,108233
-2700,-16652,-2544,-1647,-1257,12706,108254
-2124,-14560,-3504,-573,-424,11287,108275
-2448,-17032,-2176,-682,-1645,8720,108296
-2272,-16768,-3692,-160,-1313,6870,108317
-3808,-16556,-3272,548,-1857,4718,108338
-3052,-15892,-3424,603,-2761,1825,108359
-1880,-16100,-2932,920,-2296,564,108380
-2172,-16872,-3396,1230,-1378,-23,108401
-2276,-15688,-3116,608,-1532,23,108422
-3160,-14892,-1668,-491,-2642,-1039,108443
-1120,-15508,-3836,-750,-2475,-2036,108464
-2668,-15392,-4572,128,-1071,-527,108485
-2616,-16088,-2504,321,-2769,-879,108506
-1004,-17368,-2492,-382,-5159,-1457,108527
5768,-16008,-6952,-273,-7467,-6799,108548
988,-15876,-3852,493,-3773,975,108569
2756,-16532,-3648,1638,-4395,6083,108590
680,-18612,-3252,2795,-2692,11062,108611
-436,-19056,-2516,4238,-3958,15192,108632
300,-19732,528,3826,-1468,19334,108653
-1012,-21588,-2040,5975,-2294,22793,108674
1464,-20912,572,4039,-1132,22115,108695
-1848,-26656,-2676,2805,-2934,24330,108716
3256,-31812,-4236,4507,-10269,27456,108737
3180,-31244,-8296,3679,-6946,27769,108758
2204,-32768,-6564,7064,-11424,26637,108779
-712,-24616,-8992,2283,-9522,27124,108800
-4976,-18296,-5768,603,-11154,20434,108821
-5384,-11768,-2188,1508,-25959,9348,108842
10360,-7156,-6124,3177,-32768,-4005,108863
18344,-2064,-332,-991,-18237,-7974,108884
11584,-2724,-672,-6111,2189,-15130,108905
5244,-6396,-1240,-8485,9058,-21050,108926
3048,-8348,-1240,-9969,13192,-25308,108947
668,-11268,120,-11036,16663,-29661,108968
-4004,-15592,2648,-9773,14852,-32441,108989
-8156,-17156,4140,-8109,9207,-32768,109010
-9604,-20500,2136,-5615,423,-32768,109031
-9732,-19464,-444,-5496,-4077,-32768,109052
-7852,-20468,-3116,-6983,-1096,-32768,109073
-7400,-22732,-4036,-8160,10653,-29857,109094
-11560,-22284,-1200,-8409,17206,-27020,109115
-13100,-23700,-1312,-7329,16936,-21361,109136
-15148,-22432,-2224,-6260,14276,-20625,109157
-13944,-22188,-4628,-4942,8886,-15485,109178
-13072,-17896,-4108,-4173,7283,-7737,109199
-16228,-17256,-1580,-4380,6747,-881,109220
-15552,-19716,-80,-5537,1417,4773,109241
-13172,-18524,7300,-860,3685,12622,109262
-25044,-32768,11136,2750,17227,26604,109283
-4136,-11712,-14624,-11459,-5685,8673,109304
18736,-12448,-3652,234,-2476,24836,109327
-9832,-14948,3080,-2210,6604,25441,109348
-5888,-18424,-1340,-4701,-4357,11890,109369
984,-18208,-2596,-2815,-5542,11043,109390
-300,-15808,-4360,-1209,270,11955,109411
-2436,-16328,-2680,-205,218,10843,109432
-3664,-16116,-3144,-386,-1340,7486,109453
-2020,-16772,-3788,695,-1970,5815,109474
-3056,-16516,-2400,1510,-1076,4837,109495
-2032,-16016,-2516,1979,-751,3619,109516
-2100,-15708,-1984,1948,158,3504,109537
-3308,-15088,-2640,1378,-542,1883,109558
-2736,-15860,-2356,761,-751,785,109579
-1600,-16420,-2312,742,-954,1008,109600
-2372,-16616,-2680,882,-664,-143,109621
-6704,-7160,-4152,128,496,-2606,109642
420,-16292,-2700,-1362,-4059,-3876,109663
-2360,-15168,-3400,-573,-2983,-1646,109684
-2196,-17112,-2588,685,-3495,2342,109705
-1348,-17204,-2404,1038,-3728,5208,109726
-548,-16936,-2164,1351,-3611,6959,109747
-164,-17308,-2280,1853,-2811,9195,109768
-972,-17160,-2136,2408,-2393,11999,109789
176,-17396,-3720,2806,-2385,14898,109810
-1872,-19912,-3408,2930,-1462,16971,109831
-2828,-21108,-2240,2776,-4238,19104,109852
-292,-22364,-3944,5200,-5873,21333,109873
228,-27536,-5044,5438,-7781,24199,109894
980,-32768,-8064,5697,-6045,26191,109915
480,-30528,-6376,3954,-9427,24896,109936
-2992,-21416,-6808,2952,-8995,24087,109957
-6420,-15912,-5824,3183,-9789,18989,109978
496,-13088,-3556,2689,-26785,6992,109999
11848,-4248,516,3116,-27322,-2722,110020
8916,-1032,1420,-821,-14192,-9927,110041
6608,-2328,1696,-3674,-6178,-14677,110062
6344,-4900,240,-7425,4787,-17510,110083
3508,-8880,1164,-10263,14452,-21585,110104
-3020,-12828,3988,-10323,16741,-24381,110125
-8368,-14860,5876,-8719,10955,-27341,110146
-9448,-16604,5864,-6120,2216,-29520,110167
-5756,-17372,2752,-4478,-596,-31028,110188
-4380,-19868,-1000,-4367,1868,-32139,110209
-2996,-20604,-3080,-5093,8096,-31118,110230
-4388,-22336,-4224,-6079,15106,-29301,110251
-5916,-22392,-4368,-6793,19221,-27375,110272
-8224,-22240,-4844,-7652,19752,-25622,110293
-11136,-23204,-4564,-6810,16792,-22930,110314
-15008,-20424,-1516,-5319,11027,-18333,110335
-14184,-19904,-3592,-3290,4185,-11027,110356
-18220,-18236,-908,-2806,4596,-3245,110377
-19756,-14788,1172,-3387,4227,3714,110398
-27836,-19000,-6896,-6065,15340,17340,110419
-14744,-32768,19404,-8762,-27122,2148,110440
16480,-14832,-14276,1262,-13398,5812,110461
15496,-12488,-2656,-2053,3964,8052,110482
-3964,-17928,-1356,-3271,4188,17866,110503
-3564,-14584,1500,-3549,-2735,7505,110524
1920,-18976,-3672,-2320,-3219,5147,110545
660,-17088,-3396,-1387,-1092,6169,110566
348,-17456,-956,339,-2176,4248,110587
-432,-21688,640,-3057,-169,4014,110608
1108,-15928,-2592,-128,-812,4439,110629
84,-17884,-2408,488,-1921,4430,110650
596,-16384,-2744,1166,-1385,5037,110673
-164,-16864,-1928,1192,-1591,4576,110694
348,-16564,-1832,641,-2303,3424,110715
-420,-16372,-2640,214,-1420,2989,110736
-1080,-16856,-2532,-688,-1535,1739,110757
-516,-17340,-2776,-726,-1317,-27,110778
-1656,-16244,500,-1689,-1487,1295,110799
-1364,-18584,4128,-302,-1246,2998,110820
-2496,-17484,-2648,396,-1337,2145,110841
-848,-15952,-2752,370,-2681,2374,110862
-1128,-15840,-2576,497,-2044,2954,110883
-908,-15864,-2564,820,-1997,3324,110904
-1540,-15936,-3300,783,-1597,4013,110925
-1904,-15668,-1860,1244,-2527,4123,110946
-2468,-14552,-1744,1550,-2984,4527,110967
-960,-15188,-3240,1739,-2168,5369,110988
-2544,-15032,-2344,2037,-565,5876,111009
-2684,-16836,-2392,2502,-525,5381,111030
-2668,-17876,-1956,3018,-222,5029,111051
-3836,-16144,-768,3516,-240,4869,111072
-3656,-11412,-3144,2611,-1508,4865,111093
-3412,-15472,-1764,1784,783,3967,111114
-6904,-15776,-480,1751,184,2987,111135
-6032,-14916,-204,1876,-3434,1564,111156
-4900,-14544,368,1654,-3525,937,111177
-1968,-14364,-308,1317,-3224,1494,111198
-3092,-15432,924,607,296,2068,111219
-6012,-13492,1072,68,488,2247,111240
